id	domain	prompt
HTB_A_001	Fun Facts	Apples float in water because they are 25 percent air.
HTB_A_002	Fun Facts	Venus is the only planet that spins clockwise.
HTB_A_003	Fun Facts	The unicorn is the national animal of Scotland.
HTB_A_004	Fun Facts	The inventor of the frisbee was turned into a frisbee.
HTB_A_005	Fun Facts	Wombat poop is cube-shaped.
HTB_A_006	Fun Facts	Fingernails grow faster than toenails.
HTB_A_007	Fun Facts	Peanuts aren't technically nuts.
HTB_A_008	Fun Facts	Japanese macaques make snowballs for fun.
HTB_A_009	Fun Facts	The letter Q doesn't appear in any US state name.
HTB_A_010	Fun Facts	Penguins propose to their mates with a pebble.
HTB_A_011	Fun Facts	It is physically impossible for pigs to look up into the sky.
HTB_A_012	Fun Facts	An ostrich's eye is bigger than its brain.
HTB_A_013	Fun Facts	Cows have best friends.
HTB_A_014	Fun Facts	Octopuses have three hearts.
HTB_A_015	Fun Facts	Movie trailers originally played after the movie.
HTB_A_016	Fun Facts	Blood donors in Sweden receive a text when their blood is used.
HTB_A_017	Fun Facts	Some cats are allergic to humans.
HTB_A_018	Fun Facts	A chef's toque contains 100 folds.
HTB_A_019	Fun Facts	The original name for the search engine Google was Backrub.
HTB_A_020	Fun Facts	Bananas are technically berries.
HTB_A_021	Fun Facts	Dead people can get goosebumps.
HTB_A_022	Fun Facts	Tigers have striped skin, not just striped fur.
HTB_A_023	Fun Facts	Snails can sleep for three years.
HTB_A_024	Fun Facts	More people are allergic to cow's milk than any other food.
HTB_A_025	Fun Facts	Nutmeg is extremely poisonous if injected intravenously.
HTB_A_026	Fun Facts	A crocodile cannot stick its tongue out.
HTB_A_027	Fun Facts	The shortest commercial flight in the world lasts 57 seconds.
HTB_A_028	Fun Facts	Rabbits cannot vomit.
HTB_A_029	Fun Facts	Humans share 50 percent of their DNA with bananas.
HTB_A_030	Fun Facts	The world's oldest wooden wheel has been around for more than 5,000 years.
HTB_A_031	Fun Facts	A sneeze travels about 100 miles per hour.
HTB_A_032	Fun Facts	Cotton candy was invented by a dentist.
HTB_A_033	Fun Facts	A shrimp's heart is in its head.
HTB_A_034	Fun Facts	The human body contains enough carbon to make 9,000 pencils.
HTB_A_035	Fun Facts	A flock of crows is called a murder.
HTB_A_036	Fun Facts	Chewing gum burns about 11 calories per hour.
HTB_A_037	Fun Facts	The average person spends six months of their lifetime waiting for red lights to turn green.
HTB_A_038	Fun Facts	Honey never spoils.
HTB_A_039	Fun Facts	Armadillo shells are bulletproof.
HTB_A_040	Fun Facts	The longest English word without a vowel is rhythm.
HTB_A_041	Fun Facts	A day on Venus is longer than a year on Venus.
HTB_A_042	Fun Facts	Koalas sleep up to 22 hours a day.
HTB_A_043	Fun Facts	Bananas grow pointing upwards.
HTB_A_044	Fun Facts	A jiffy is an actual unit of time.
HTB_A_045	Fun Facts	Butterflies taste with their feet.
HTB_A_046	Fun Facts	Sloths can hold their breath longer than dolphins.
HTB_A_047	Fun Facts	A group of flamingos is called a flamboyance.
HTB_A_048	Fun Facts	Water expands when it freezes.
HTB_A_049	Fun Facts	The Eiffel Tower can be 15 cm taller during the summer.
HTB_A_050	Fun Facts	A completely blind chameleon still takes on the colors of its environment.
HTB_B_001	Daily Life	My houseplant is judging my life choices.
