Rank,Model,BT Rating,95% CI,Stable ELO,Wins,Losses,Ties,Win%
1,GPT-5,1323.66,"[1287.8, 1365.2]",1322.1,508,91,1,84.7%
2,Kimi-K2,1221.62,"[1188.1, 1260.1]",1195.2,452,148,0,75.3%
3,Gemini-2.5-Pro,1190.32,"[1156.5, 1224.8]",1199.8,432,168,0,72.0%
4,HumorGen SFT-7B,1083.9,"[1057.1, 1113.5]",1089.4,357,243,0,59.5%
5,HumorGen DPO-7B,1079.86,"[1054.8, 1108.2]",1066.5,354,246,0,59.0%
6,HumorGen GRPO-7B,1034.47,"[1001.1, 1063.6]",1031.2,320,280,0,53.3%
7,HumorGen SFT-Think-7B,993.23,"[965.0, 1023.5]",1003.3,289,311,0,48.2%
8,GPT-OSS-120B,989.22,"[957.2, 1011.9]",992.2,286,314,0,47.7%
9,HumorGen DPO-Think-7B,975.8,"[950.0, 1002.4]",991.2,276,324,0,46.0%
10,Qwen3-32B,964.31,"[935.9, 994.9]",966.3,267,332,1,44.5%
11,HumorGen GRPO-Think-7B,883.47,"[847.9, 921.2]",879.4,210,390,0,35.0%
12,HumorGen-Com-7B,653.05,"[610.3, 695.1]",652.1,83,517,0,13.8%
13,Base Qwen-7B,607.1,"[560.2, 646.5]",611.3,65,535,0,10.8%
