Rank,Model,BT Rating,95% CI,Stable ELO,Wins,Losses,Ties,Win%
1,GPT-5,1336.18,"[1323.3, 1348.3]",1357.0,4738,862,0,84.6%
2,Kimi-K2,1259.98,"[1249.7, 1268.5]",1280.1,4362,1237,1,77.9%
3,HumorGen SFT-7B,1128.14,"[1118.3, 1138.1]",1111.4,3565,2035,0,63.7%
4,HumorGen DPO-7B,1123.72,"[1115.7, 1134.9]",1133.6,3536,2064,0,63.1%
5,HumorGen DPO-Think-7B,1116.65,"[1107.9, 1127.1]",1111.7,3489,2110,1,62.3%
6,HumorGen SFT-Think-7B,1085.31,"[1075.8, 1096.5]",1082.8,3281,2319,0,58.6%
7,HumorGen GRPO-7B,1071.13,"[1060.8, 1080.1]",1095.4,3186,2414,0,56.9%
8,Gemini-2.5-Pro,1059.07,"[1049.3, 1068.4]",1067.8,3104,2494,2,55.4%
9,HumorGen GRPO-Think-7B,1055.94,"[1043.8, 1066.8]",1059.0,3084,2516,0,55.1%
10,GPT-OSS-120B,1048.19,"[1039.7, 1057.1]",1049.4,3032,2568,0,54.1%
11,Qwen3-32B,990.44,"[981.4, 999.4]",994.2,2648,2952,0,47.3%
12,phi2-Humor,803.72,"[794.5, 818.2]",808.6,1539,4060,1,27.5%
13,HumorGen-Com-7B,665.93,"[645.5, 680.0]",645.5,897,4682,21,16.0%
14,Base Qwen-7B,643.01,"[628.3, 658.0]",624.9,818,4781,1,14.6%
15,JokeGPT,612.58,"[597.6, 627.4]",578.6,697,4882,21,12.4%
