Rank,Model,BT Rating,95% CI,Stable ELO,Wins,Losses,Ties,Win%
1,GPT-5,1378.73,"[1346.1, 1421.5]",1402.6,605,94,1,86.4%
2,Kimi-K2,1279.63,"[1245.0, 1322.1]",1291.6,549,151,0,78.4%
3,Gemini-2.5-Pro,1247.8,"[1212.4, 1279.7]",1235.6,528,172,0,75.4%
4,HumorGen SFT-7B,1140.37,"[1107.9, 1173.2]",1153.6,449,251,0,64.1%
5,HumorGen DPO-7B,1135.25,"[1101.9, 1160.2]",1117.9,445,255,0,63.6%
6,HumorGen GRPO-7B,1089.84,"[1060.7, 1114.1]",1067.7,409,291,0,58.4%
7,GPT-OSS-120B,1049.99,"[1019.8, 1081.5]",1047.7,377,323,0,53.9%
8,HumorGen SFT-Think-7B,1049.99,"[1016.3, 1084.5]",1043.9,377,323,0,53.9%
9,HumorGen DPO-Think-7B,1031.3,"[1002.1, 1058.0]",1044.6,362,338,0,51.7%
10,Qwen3-32B,1023.18,"[997.0, 1046.0]",1012.7,355,344,1,50.7%
11,HumorGen GRPO-Think-7B,948.51,"[914.7, 982.6]",950.7,297,403,0,42.4%
12,phi2-Humor,791.32,"[751.8, 826.1]",786.9,188,512,0,26.9%
13,HumorGen-Com-7B,721.97,"[682.3, 750.8]",726.9,148,552,0,21.1%
14,Base Qwen-7B,673.16,"[643.1, 718.0]",664.8,123,577,0,17.6%
15,JokeGPT,438.97,"[384.3, 500.2]",453.0,37,663,0,5.3%
